game;Accurate passes_away_1ST;Accurate passes_away_2ND;Accurate passes_away_ALL;Accurate passes_home_1ST;Accurate passes_home_2ND;Accurate passes_home_ALL;Aerials won_away_1ST;Aerials won_away_2ND;Aerials won_away_ALL;Aerials won_home_1ST;Aerials won_home_2ND;Aerials won_home_ALL;Ball possession_away_1ST;Ball possession_away_2ND;Ball possession_away_ALL;Ball possession_home_1ST;Ball possession_home_2ND;Ball possession_home_ALL;Big chances missed_away_1ST;Big chances missed_away_2ND;Big chances missed_away_ALL;Big chances missed_home_1ST;Big chances missed_home_2ND;Big chances missed_home_ALL;Big chances_away_1ST;Big chances_away_2ND;Big chances_away_ALL;Big chances_home_1ST;Big chances_home_2ND;Big chances_home_ALL;Blocked shots_away_1ST;Blocked shots_away_2ND;Blocked shots_away_ALL;Blocked shots_home_1ST;Blocked shots_home_2ND;Blocked shots_home_ALL;Clearances_away_1ST;Clearances_away_2ND;Clearances_away_ALL;Clearances_home_1ST;Clearances_home_2ND;Clearances_home_ALL;Corner kicks_away_1ST;Corner kicks_away_2ND;Corner kicks_away_ALL;Corner kicks_home_1ST;Corner kicks_home_2ND;Corner kicks_home_ALL;Counter attacks_away_1ST;Counter attacks_away_2ND;Counter attacks_away_ALL;Counter attacks_home_1ST;Counter attacks_home_2ND;Counter attacks_home_ALL;Crosses_away_1ST;Crosses_away_2ND;Crosses_away_ALL;Crosses_home_1ST;Crosses_home_2ND;Crosses_home_ALL;Dribbles_away_1ST;Dribbles_away_2ND;Dribbles_away_ALL;Dribbles_home_1ST;Dribbles_home_2ND;Dribbles_home_ALL;Duels won_away_1ST;Duels won_away_2ND;Duels won_away_ALL;Duels won_home_1ST;Duels won_home_2ND;Duels won_home_ALL;Fouls_away_ALL;Fouls_home_ALL;Goalkeeper saves_away_1ST;Goalkeeper saves_away_2ND;Goalkeeper saves_away_ALL;Goalkeeper saves_home_1ST;Goalkeeper saves_home_2ND;Goalkeeper saves_home_ALL;Hit woodwork_away_1ST;Hit woodwork_away_2ND;Hit woodwork_away_ALL;Hit woodwork_home_1ST;Hit woodwork_home_2ND;Hit woodwork_home_ALL;Interceptions_away_1ST;Interceptions_away_2ND;Interceptions_away_ALL;Interceptions_home_1ST;Interceptions_home_2ND;Interceptions_home_ALL;Long balls_away_1ST;Long balls_away_2ND;Long balls_away_ALL;Long balls_home_1ST;Long balls_home_2ND;Long balls_home_ALL;Offsides_away_1ST;Offsides_away_2ND;Offsides_away_ALL;Offsides_home_1ST;Offsides_home_2ND;Offsides_home_ALL;Passes_away_1ST;Passes_away_2ND;Passes_away_ALL;Passes_home_1ST;Passes_home_2ND;Passes_home_ALL;Possession lost_away_1ST;Possession lost_away_2ND;Possession lost_away_ALL;Possession lost_home_1ST;Possession lost_home_2ND;Possession lost_home_ALL;Red cards_away_1ST;Red cards_away_2ND;Red cards_away_ALL;Red cards_home_1ST;Red cards_home_2ND;Red cards_home_ALL;Shots inside box_away_1ST;Shots inside box_away_2ND;Shots inside box_away_ALL;Shots inside box_home_1ST;Shots inside box_home_2ND;Shots inside box_home_ALL;Shots off target_away_1ST;Shots off target_away_2ND;Shots off target_away_ALL;Shots off target_home_1ST;Shots off target_home_2ND;Shots off target_home_ALL;Shots on target_away_1ST;Shots on target_away_2ND;Shots on target_away_ALL;Shots on target_home_1ST;Shots on target_home_2ND;Shots on target_home_ALL;Shots outside box_away_1ST;Shots outside box_away_2ND;Shots outside box_away_ALL;Shots outside box_home_1ST;Shots outside box_home_2ND;Shots outside box_home_ALL;Tackles_away_1ST;Tackles_away_2ND;Tackles_away_ALL;Tackles_home_1ST;Tackles_home_2ND;Tackles_home_ALL;Total shots_away_1ST;Total shots_away_2ND;Total shots_away_ALL;Total shots_home_1ST;Total shots_home_2ND;Total shots_home_ALL;Yellow cards_away_1ST;Yellow cards_away_2ND;Yellow cards_away_ALL;Yellow cards_home_1ST;Yellow cards_home_2ND;Yellow cards_home_ALL;away_score;data;form_minute_1;form_minute_10;form_minute_11;form_minute_12;form_minute_13;form_minute_14;form_minute_15;form_minute_16;form_minute_17;form_minute_18;form_minute_19;form_minute_2;form_minute_20;form_minute_21;form_minute_22;form_minute_23;form_minute_24;form_minute_25;form_minute_26;form_minute_27;form_minute_28;form_minute_29;form_minute_3;form_minute_30;form_minute_31;form_minute_32;form_minute_33;form_minute_34;form_minute_35;form_minute_36;form_minute_37;form_minute_38;form_minute_39;form_minute_4;form_minute_40;form_minute_41;form_minute_42;form_minute_43;form_minute_44;form_minute_45;form_minute_45.5;form_minute_46;form_minute_47;form_minute_48;form_minute_49;form_minute_5;form_minute_50;form_minute_51;form_minute_52;form_minute_53;form_minute_54;form_minute_55;form_minute_56;form_minute_57;form_minute_58;form_minute_59;form_minute_6;form_minute_60;form_minute_61;form_minute_62;form_minute_63;form_minute_64;form_minute_65;form_minute_66;form_minute_67;form_minute_68;form_minute_69;form_minute_7;form_minute_70;form_minute_71;form_minute_72;form_minute_73;form_minute_74;form_minute_75;form_minute_76;form_minute_77;form_minute_78;form_minute_79;form_minute_8;form_minute_80;form_minute_81;form_minute_82;form_minute_83;form_minute_84;form_minute_85;form_minute_86;form_minute_87;form_minute_88;form_minute_89;form_minute_9;form_minute_90;form_minute_90.5;home_score;hora;result;team_away;team_home
MUN X LEI 2018-08-10;228 (83%);222 (83%);450 (83%);209 (83%);190 (81%);399 (82%);6;7;13;5;5;10;54%;55%;54%;46%;45%;46%;0;1;1;0;1;1;0;2;2;1;1;2;3;3;6;1;0;1;8;6;14;21;16;37;4;1;5;0;2;2;;;;;;;0/12 (0%);2/15 (13%);2/27 (7%);0/3 (0%);1/9 (11%);1/12 (8%);3/6 (50%);6/12 (50%);9/18 (50%);4/6 (67%);7/8 (88%);11/14 (79%);25;22;47;24;29;53;8;11;2;2;4;2;1;3;0;1;1;0;0;0;5;7;12;9;8;17;13/20 (65%);20/34 (59%);33/54 (61%);14/26 (54%);18/31 (58%);32/57 (56%);2;0;2;1;3;4;274;269;543;251;234;485;;;164;;;139;;;;;;;1;4;5;3;2;5;0;3;3;0;1;1;2;2;4;3;3;6;4;4;8;1;2;3;10;4;14;13;13;26;5;8;13;4;4;8;0;1;1;0;2;2;1;2018-08-10;6;-50;-35;-24;-18;-15;-47;-69;-36;-20;-10;40;-2;3;19;22;10;6;-6;-7;-11;-57;24;-100;-100;-86;-70;-49;-21;-16;-40;-53;-30;74;19;48;100;56;21;6;;8;6;7;-9;48;-5;11;14;2;8;3;4;38;19;18;45;-13;-2;-5;21;8;50;28;11;1;1;8;-3;-5;-4;-5;-6;-7;-89;-58;-70;81;-5;19;9;13;32;92;40;24;11;2;-7;-8;-64.0;-200.0;2;17:00:00;1;LEI;MUN
NEW X TOT 2018-08-11;264 (84%);203 (78%);467 (82%);145 (71%);123 (67%);268 (69%);11;10;21;13;20;33;61%;59%;60%;39%;41%;40%;0;3;3;0;1;1;2;3;5;1;1;2;3;0;3;3;2;5;11;32;43;6;11;17;2;3;5;1;2;3;;;;;;;4/7 (57%);3/10 (30%);7/17 (41%);2/3 (67%);1/9 (11%);3/12 (25%);0/4 (0%);4/5 (80%);4/9 (43%);8/13 (62%);8/15 (53%);16/28 (57%);24;38;62;38;37;75;12;11;0;1;1;0;3;3;0;0;0;0;2;2;4;6;10;12;9;21;13/25 (52%);15/38 (39%);28/63 (44%);15/37 (41%);14/36 (39%);29/73 (40%);0;0;0;0;1;1;313;260;573;203;184;387;;;166;;;184;;;;;;;8;4;12;4;5;9;4;3;7;3;5;8;2;3;5;1;1;2;1;2;3;3;3;6;11;16;27;10;5;15;9;6;15;7;8;15;1;1;2;0;2;2;2;2018-08-11;-22;-82;-47;89;30;22;5;-13;-15;-96;-59;-17;-37;-24;-19;-11;-19;-18;-18;-6;58;33;-3;-36;-8;-7;16;12;11;14;18;-29;-50;30;-1;-1;7;10;13;5;-12.0;3;1;63;28;9;5;-65;-23;-62;-100;-45;-93;-100;-83;-44;35;47;58;81;49;95;75;54;9;-13;-12;9;-15;-47;-26;-18;-15;-12;-9;64;72;37;-9;6;9;6;-4;-3;10;23;11;49;5;-100;4.0;-28.0;1;09:30:00;-1;TOT;NEW
BOU X CAR 2018-08-11;89 (59%);86 (63%);175 (61%);252 (81%);145 (76%);397 (79%);18;13;31;14;18;32;34%;42%;38%;66%;58%;62%;0;1;1;1;2;3;0;1;1;2;2;4;0;4;4;1;1;2;11;19;30;16;21;37;0;4;4;3;4;7;;;;;;;2/11 (18%);2/7 (29%);4/18 (22%);3/4 (75%);2/7 (29%);5/11 (45%);2/7 (29%);7/10 (70%);9/17 (53%);6/9 (67%);5/12 (42%);11/21 (52%);33;40;73;31;31;62;9;11;1;1;2;0;1;1;;;;;;;9;6;15;2;2;4;13/38 (34%);10/39 (26%);23/77 (30%);17/29 (59%);12/28 (43%);29/57 (51%);1;1;2;0;0;0;150;137;287;311;191;502;;;158;;;168;;;;;;;3;5;8;5;5;10;3;2;5;2;4;6;0;1;1;2;2;4;0;2;2;0;2;2;7;15;22;7;4;11;3;7;10;5;7;12;1;0;1;1;0;1;0;2018-08-11;-1;3;49;7;6;6;9;29;22;13;9;-6;6;1;-1;-1;60;35;10;8;12;36;-14;61;51;36;20;16;100;83;54;37;49;21;15;-15;-3;-48;-32;-28;2.0;-8;-2;3;3;13;6;57;36;50;32;21;7;6;36;86;13;9;-35;-20;26;11;-18;-31;-82;-59;-60;-17;-45;-25;-11;-16;-48;-23;-16;-2;5;17;4;14;13;100;69;38;21;65;28;-19;-2;4;-3.0;;2;12:00:00;1;CAR;BOU
FUL X CRY 2018-08-11;147 (79%);111 (69%);258 (74%);341 (90%);250 (86%);591 (88%);12;8;20;4;6;10;33%;35%;34%;67%;65%;66%;0;1;1;0;0;0;0;2;2;0;0;0;1;1;2;3;2;5;17;13;30;8;14;22;1;4;5;3;2;5;;;;;;;2/4 (50%);2/8 (25%);4/12 (33%);3/15 (20%);5/17 (29%);8/32 (25%);7/13 (54%);6/9 (67%);13/22 (59%);3/5 (60%);6/10 (60%);9/15 (60%);31;32;63;26;29;55;11;9;3;3;6;3;5;8;1;0;1;0;0;0;7;7;14;8;7;15;13/23 (57%);11/32 (34%);24/55 (43%);21/36 (58%);19/34 (56%);40/70 (57%);2;1;3;0;2;2;187;160;347;380;292;672;;;143;;;144;;;;;;;3;5;8;2;4;6;0;0;0;2;2;4;4;6;10;3;3;6;2;2;4;6;3;9;8;13;21;15;10;25;5;7;12;8;7;15;1;1;2;1;0;1;2;2018-08-11;1;45;13;8;15;100;22;15;56;35;15;8;41;31;18;15;13;17;47;23;15;10;1;7;-5;-43;-38;-53;-25;-10;5;32;28;76;43;73;-83;-19;-6;8;39.0;-2;-4;-42;-66;46;-34;-16;-7;3;-48;-4;9;-22;52;28;31;16;34;23;7;-82;47;5;13;12;17;21;-21;-4;5;13;44;46;-33;21;10;5;25;-8;3;3;2;3;4;4;4;4;4;-48;3.0;-24.0;0;12:00:00;-1;CRY;FUL
HUD X CHE 2018-08-11;259 (86%);323 (90%);582 (88%);138 (72%);143 (79%);281 (76%);14;3;17;13;9;22;60%;66%;63%;40%;34%;37%;0;1;1;1;0;1;1;2;3;1;0;1;1;5;6;0;1;1;15;6;21;4;9;13;1;4;5;1;1;2;;;;;;;1/3 (33%);4/8 (50%);5/11 (45%);4/15 (27%);2/8 (25%);6/23 (26%);9/10 (90%);8/11 (73%);17/21 (81%);2/6 (33%);4/5 (80%);6/11 (55%);33;20;53;31;29;60;8;9;1;0;1;0;1;1;0;1;1;1;1;2;5;4;9;9;7;16;15/28 (54%);14/24 (58%);29/52 (56%);27/52 (52%);19/35 (54%);46/87 (53%);1;0;1;2;0;2;301;357;658;192;180;372;;;134;;;145;;;;;;;3;7;10;1;3;4;0;3;3;2;2;4;2;2;4;1;0;1;0;3;3;2;0;2;7;5;12;14;11;25;3;10;13;3;3;6;0;1;1;1;1;2;3;2018-08-11;-3;21;5;-6;-12;-12;-12;-11;-11;-11;-11;-4;-22;44;17;9;24;9;29;51;69;54;-5;47;22;33;-27;-8;-87;-53;-9;33;70;-32;54;32;17;7;15;-69;12.0;-42;-35;-28;-45;-14;-23;-17;-13;-11;-8;-8;-8;-93;-61;-100;-7;-100;-64;-45;-33;-63;-68;-50;-46;-32;-23;-2;-13;14;8;32;46;29;100;81;47;27;83;28;4;-6;-8;-11;-98;-57;41;5;4;46;1.0;-34.0;0;12:00:00;-1;CHE;HUD
WAT X BHA 2018-08-11;158 (78%);139 (76%);297 (77%);178 (76%);150 (74%);328 (75%);12;12;24;8;8;16;47%;47%;47%;53%;53%;53%;0;0;0;1;1;2;0;0;0;1;1;2;1;0;1;4;1;5;14;12;26;7;4;11;1;1;2;5;3;8;;;;;;;3/10 (30%);1/5 (20%);4/15 (27%);6/10 (60%);1/10 (10%);7/20 (35%);3/4 (75%);6/7 (86%);9/11 (82%);4/8 (50%);4/6 (67%);8/14 (57%);29;31;60;20;35;55;16;10;2;1;3;0;0;0;;;;;;;7;10;17;6;5;11;23/40 (57%);17/39 (44%);40/79 (51%);18/42 (43%);16/37 (43%);34/79 (43%);0;3;3;0;0;0;202;183;385;234;203;437;;;139;;;159;;;;;;;3;2;5;9;3;12;2;3;5;6;3;9;0;0;0;3;2;5;0;1;1;4;3;7;11;6;17;5;12;17;3;3;6;13;6;19;1;1;2;0;2;2;0;2018-08-11;7;-11;51;55;53;63;73;29;13;16;7;6;29;64;6;-11;-5;-5;-5;57;35;23;6;16;12;10;23;13;100;71;44;40;22;-7;4;-5;-5;-9;-9;-25;59.0;127;69;46;76;-1;43;12;3;-16;69;30;11;10;8;4;-1;1;-4;2;2;-7;-2;-30;-19;-10;-4;1;59;18;-52;-34;-10;-3;2;46;-59;39;1;8;6;26;21;11;8;6;3;3;3;-37;100.0;20.0;2;12:00:00;1;BHA;WAT
WOL X EVE 2018-08-11;154 (77%);153 (74%);307 (75%);189 (78%);263 (87%);452 (83%);12;12;24;14;7;21;47%;40%;43%;53%;60%;57%;0;0;0;0;1;1;1;0;1;0;2;2;0;0;0;0;2;2;10;18;28;17;6;23;4;2;6;1;2;3;;;;;;;1/12 (8%);2/3 (67%);3/15 (20%);0/7 (0%);5/18 (28%);5/25 (20%);1/2 (50%);1/5 (20%);2/7 (29%);5/8 (63%);4/10 (40%);9/18 (50%);23;32;55;29;21;50;7;8;1;1;2;2;1;3;;;;;;;7;4;11;3;6;9;9/32 (28%);13/36 (36%);22/68 (32%);16/39 (41%);19/30 (63%);35/69 (51%);2;1;3;1;1;2;201;208;409;243;304;547;;;152;;;162;1;0;1;0;0;0;3;4;7;0;3;3;0;3;3;2;3;5;3;2;5;2;2;4;0;1;1;4;4;8;8;15;23;6;7;13;3;5;8;4;7;11;1;0;1;0;0;0;2;2018-08-11;-15;-28;-58;-33;-19;15;16;13;-43;-62;-34;-52;-17;-6;25;57;33;19;10;4;-1;-1;-29;-1;-1;-1;-24;-31;-29;-15;-6;53;64;-5;44;43;27;14;8;81;-70.0;2;2;3;-7;3;-36;-23;-14;-7;-2;2;4;4;53;-91;40;59;15;3;-1;-6;-2;-36;-14;-86;-49;30;-27;-40;-13;49;40;27;53;30;67;45;22;32;100;74;34;23;15;3;6;16;11;8;2.0;37.0;2;14:30:00;0;EVE;WOL
LIV X WES 2018-08-12;146 (80%);151 (85%);297 (83%);321 (89%);285 (91%);606 (90%);5;5;10;4;3;7;34%;37%;36%;66%;63%;64%;0;0;0;2;0;2;0;0;0;4;1;5;1;0;1;1;2;3;10;10;20;4;4;8;3;1;4;1;4;5;;;;;;;1/5 (20%);1/7 (14%);2/12 (17%);4/12 (33%);3/9 (33%);7/21 (33%);3/7 (43%);4/8 (50%);7/15 (47%);4/10 (40%);3/5 (60%);7/15 (47%);28;26;54;20;18;38;9;14;3;1;4;1;1;2;;;;;;;5;6;11;6;3;9;11/26 (42%);16/28 (57%);27/54 (50%);23/29 (79%);8/14 (57%);31/43 (72%);1;2;3;2;3;5;183;177;360;359;314;673;;;113;;;124;;;;;;;3;1;4;7;6;13;1;1;2;2;5;7;1;1;2;5;3;8;0;1;1;1;4;5;14;9;23;11;8;19;3;2;5;8;10;18;0;2;2;1;0;1;0;2018-08-12;4;11;35;12;16;-22;8;8;-7;23;19;33;100;65;33;18;9;71;40;58;-65;-13;28;-9;-34;-17;6;6;18;18;75;69;46;18;100;69;52;23;12;1;57.0;1;-2;-2;-10;19;-78;-49;-11;82;44;37;33;22;6;9;34;10;11;36;38;74;53;56;35;31;79;22;59;80;40;42;20;-15;6;4;72;48;16;30;17;15;9;10;6;9;8;1;100;13;-3.0;24.0;4;10:30:00;1;WES;LIV
SOU X BUR 2018-08-12;183 (82%);128 (69%);311 (76%);119 (73%);161 (78%);280 (76%);12;16;28;12;13;25;59%;47%;53%;41%;53%;47%;2;0;2;0;1;1;2;0;2;0;1;1;3;1;4;2;7;9;14;21;35;18;13;31;4;1;5;2;6;8;1;0;1;0;0;0;2/16 (13%);1/4 (25%);3/20 (15%);3/8 (38%);5/12 (42%);8/20 (40%);3/7 (43%);0/4 (0%);3/11 (27%);5/9 (56%);3/5 (60%);8/14 (57%);26;24;50;29;28;57;9;10;1;2;3;4;2;6;;;;;;;1;4;5;3;1;4;18/33 (55%);18/36 (50%);36/69 (52%);8/25 (32%);17/36 (47%);25/61 (41%);3;2;5;1;1;2;223;185;408;162;207;369;;;144;;;132;;;;;;;7;3;10;2;7;9;5;1;6;3;3;6;4;2;6;1;2;3;5;1;6;4;5;9;5;4;9;6;10;16;12;4;16;6;12;18;1;0;1;0;0;0;0;2018-08-12;-17;-21;-38;-86;-78;-72;-40;-15;48;100;63;-33;50;6;2;-14;-36;-21;-9;14;5;5;-64;19;16;15;5;-4;-20;-23;-23;23;28;-42;40;13;29;2;-23;-12;-19.0;-13;-14;-15;-100;-45;-100;-100;-93;-72;-36;-65;-41;-33;-2;2;-82;-4;34;14;9;7;14;11;44;24;26;-46;58;56;90;60;100;58;35;29;30;75;-49;46;29;17;16;-47;-22;18;9;65;47;-32;89.0;-13.0;0;10:30:00;0;BUR;SOU
ARS X MCI 2018-08-12;259 (86%);208 (82%);467 (84%);153 (76%);167 (84%);320 (80%);2;6;8;11;3;14;61%;56%;58%;39%;44%;42%;1;1;2;0;1;1;1;1;2;0;1;1;1;3;4;1;1;2;2;7;9;11;12;23;6;3;9;0;2;2;0;1;1;0;0;0;1/10 (10%);0/5 (0%);1/15 (7%);0/5 (0%);1/7 (14%);1/12 (8%);6/8 (75%);3/7 (43%);9/15 (60%);5/5 (100%);0/2 (0%);5/7 (71%);12;22;34;34;20;54;14;11;2;1;3;3;3;6;;;;;;;8;4;12;6;6;12;13/23 (57%);12/29 (41%);25/52 (48%);11/25 (44%);18/28 (64%);29/53 (55%);1;1;2;2;5;7;301;254;555;202;199;401;;;144;;;127;;;;;;;5;3;8;2;3;5;3;2;5;1;3;4;4;4;8;2;1;3;3;6;9;2;2;4;1;5;6;12;10;22;8;9;17;4;5;9;1;1;2;1;1;2;2;2018-08-12;9;-85;-55;-20;-10;-33;-79;-45;-67;-43;-26;21;-13;-11;-34;-18;-11;-9;-11;-22;-16;-100;65;-100;-71;-44;-29;-9;5;-4;-4;-5;-10;47;-5;-7;-7;-31;-23;-35;68.0;-23;-9;-39;-34;40;-26;-32;-12;-14;-8;-16;27;-13;-26;-15;20;-28;-17;-3;14;-84;-82;-31;46;15;16;8;23;13;34;91;41;10;28;47;25;26;-20;17;4;-10;-10;-30;-34;-24;-38;-65;-24;-34;-14.0;19.0;0;13:00:00;-1;MCI;ARS
