game;away_score;data;form_minute_1;form_minute_10;form_minute_11;form_minute_12;form_minute_13;form_minute_14;form_minute_15;form_minute_16;form_minute_17;form_minute_18;form_minute_19;form_minute_2;form_minute_20;form_minute_21;form_minute_22;form_minute_23;form_minute_24;form_minute_25;form_minute_26;form_minute_27;form_minute_28;form_minute_29;form_minute_3;form_minute_30;form_minute_31;form_minute_32;form_minute_33;form_minute_34;form_minute_35;form_minute_36;form_minute_37;form_minute_38;form_minute_39;form_minute_4;form_minute_40;form_minute_41;form_minute_42;form_minute_43;form_minute_44;form_minute_45;form_minute_45.5;form_minute_46;form_minute_47;form_minute_48;form_minute_49;form_minute_5;form_minute_50;form_minute_51;form_minute_52;form_minute_53;form_minute_54;form_minute_55;form_minute_56;form_minute_57;form_minute_58;form_minute_59;form_minute_6;form_minute_60;form_minute_61;form_minute_62;form_minute_63;form_minute_64;form_minute_65;form_minute_66;form_minute_67;form_minute_68;form_minute_69;form_minute_7;form_minute_70;form_minute_71;form_minute_72;form_minute_73;form_minute_74;form_minute_75;form_minute_76;form_minute_77;form_minute_78;form_minute_79;form_minute_8;form_minute_80;form_minute_81;form_minute_82;form_minute_83;form_minute_84;form_minute_85;form_minute_86;form_minute_87;form_minute_88;form_minute_89;form_minute_9;form_minute_90;form_minute_90.5;home_score;hora;result;team_away;team_home
BAY X BLK 18-08-2017;1;2017-08-18;1.0;95;57;30;-68;-28;-17;-4;41;25;100;1;60;33;-42;-8;21;-9;4;7;50;31;6;22;16;17;10;9;7;6;10;-28;-9;10;-2;9;-4;-34;23;-8;0.0;-6;-46;-61;-39;42;-20;-10;-1;83;46;24;11;-28;-81;-51;46;-32;-21;-13;38;12;-67;-26;-12;28;17;34;22;13;8;-35;-17;-30;-22;-12;6;31;15;16;10;-30;-13;-9;-4;36;27;21;-65.0;28;-30.0;45.0;3;16:30:00;1;BLK;BAY
MAI X H96 19-08-2017;1;2017-08-19;-10.0;15;5;70;36;24;11;-7;5;4;1;-6;5;-21;-5;3;28;-20;31;13;3;-5;-3;1;-5;-6;22;13;9;12;29;17;14;-2;12;10;4;-5;-6;1;5.0;1;1;1;1;-1;1;20;12;37;31;22;16;13;7;-38;72;-16;-6;4;4;8;13;68;46;73;87;41;55;37;25;-72;-34;-16;-1;-2;8;8;29;38;1;-1;40;25;79;31;21;12;9.0;19;2.0;55.0;0;11:30:00;-1;H96;
TSG X SVW 19-08-2017;0;2017-08-19;6.0;28;13;11;7;7;36;23;-30;-1;8;3;2;3;-19;-2;7;31;12;14;-55;-23;8;-36;-16;-5;-4;-5;-11;-66;-63;-36;-20;11;-35;-20;-9;-2;4;7;;9;10;10;11;67;16;34;25;14;7;33;37;21;12;-36;44;-13;11;31;-25;-1;5;-1;-7;6;6;30;8;10;11;11;6;2;16;13;7;4;52;2;-6;-9;-6;-4;40;61;35;24;61.0;55;41.0;0.0;1;11:30:00;1;SVW;TSG
BCS X NUR 25-08-2018;0;2018-08-25;1.0;-12;-9;-26;-13;-6;-1;2;3;47;27;1;27;43;62;29;-32;-9;-8;-8;40;57;1;33;13;-36;-18;18;4;-5;-5;-12;-34;-14;-13;-1;11;35;19;5;-73.0;2;20;14;18;-10;22;100;69;49;67;60;14;14;4;-84;-34;-80;-48;-23;-15;27;-46;-10;14;-21;-78;-24;-35;-33;-27;-37;-9;12;-5;-5;-14;-23;-19;-18;-18;-26;-24;-17;-88;-65;41;-5;-27.0;-14;-5.0;-18.0;1;11:30:00;1;NUR;BCS
HSV X AUG 19-08-2017;0;2017-08-19;-10.0;26;12;9;-9;-33;-44;-31;-19;-40;-21;5;-10;-3;38;21;10;39;26;14;10;-29;-2;-18;-14;-6;-76;-51;-24;-8;6;-8;-2;-2;-4;-5;-26;-37;-28;-57;0.0;-13;-12;-12;-17;-2;-11;-2;-4;17;11;3;8;2;-23;-19;-2;-12;-53;-42;-30;-23;-15;-12;-13;-6;-2;-8;6;4;36;20;6;-7;-8;-14;-14;-19;-32;50;11;1;-6;-2;-8;38;12;5;30.0;69;15.0;-15.0;1;11:30:00;1;AUG;HSV
BCS X STU 19-08-2017;0;2017-08-19;40.0;3;2;-33;36;17;47;32;16;13;33;26;41;13;15;12;10;3;-3;-2;5;5;18;7;10;12;8;6;-4;2;1;7;-11;13;6;46;57;47;27;13;;-7;80;28;21;11;16;9;-1;-41;-24;-25;-9;26;19;27;6;22;18;59;100;52;29;15;2;-6;-5;26;-5;-4;-4;-4;-4;-39;-25;-21;-14;-10;10;-9;-7;-35;-22;-14;-13;-12;-5;-8;-39.0;6;-28.0;-30.0;2;11:30:00;1;STU;BCS
WOB X DOR 19-08-2017;3;2017-08-19;-10.0;-45;-33;-23;57;19;5;7;2;-29;-20;-14;27;5;-3;-78;-44;-86;-53;-54;-100;-62;-17;-35;-23;-39;-19;-14;-15;-6;-7;24;5;-16;-7;-48;-34;-29;-23;-20;0.0;15;-9;-4;-4;-10;-10;-50;-7;-11;-13;-14;-12;29;-14;-7;-12;-11;-89;-62;-37;-28;-22;-13;-8;-11;-2;-14;-12;-33;-19;-11;-7;3;4;-3;-3;-3;-45;-4;3;-2;48;25;13;25;-23;-9;-7.0;-29;-3.0;0.0;0;11:30:00;-1;DOR;WOB
S04 X RBL 19-08-2017;0;2017-08-19;0.0;-8;-6;-5;4;-1;21;48;3;-50;-40;-61;-24;-29;-21;-14;-9;-7;24;9;5;42;-34;54;28;21;11;9;3;27;26;12;43;-15;62;31;-44;-19;71;25;0.0;-12;24;11;3;-9;-4;-28;-22;-21;-16;-12;-48;-28;-20;-6;-6;6;-9;-11;-10;-10;-10;-9;-8;22;6;-8;6;-13;8;-5;70;33;15;-11;-10;-16;-11;-14;-38;-31;-63;-42;-31;-48;-45;-30;-12.0;-9;6.0;-5.0;2;14:30:00;1;RBL;S04
SCF X SGE 20-08-2017;0;2017-08-20;6.0;-2;1;-88;-48;-24;-10;-23;50;30;-35;5;-40;-49;-26;-13;8;32;25;18;14;12;-4;8;8;8;-17;-1;11;10;36;-69;-32;6;-24;-13;-9;1;1;-6;40.0;-51;-24;-8;12;9;33;29;17;25;6;-3;7;-4;7;-4;12;-4;-5;-32;-23;-17;-17;-16;-9;-10;-50;30;-36;-22;-14;-9;-8;5;5;-21;20;15;16;6;-7;-31;49;20;16;-22;4;-4;-1.0;2;2.0;5.0;0;11:30:00;0;SGE;SCF
BMG X KOL 20-08-2017;0;2017-08-20;10.0;52;35;24;13;-9;-3;54;76;50;60;4;37;-39;-10;-1;-12;-11;-6;38;26;15;1;13;12;-21;-8;-3;2;7;6;5;23;-2;19;16;15;75;49;55;30.0;7;10;7;40;-1;60;1;-1;-1;-3;25;21;34;24;13;-2;-7;29;21;8;16;-33;-28;-20;-73;-50;-7;-29;-17;59;74;41;-54;-18;-46;-32;-20;64;-9;-6;-3;-6;-33;-29;-21;-11;-40;-25.0;82;-14.0;-15.0;1;14:00:00;1;KOL;BMG
KOL X HSV 25-08-2017;3;2017-08-25;6.0;22;11;9;5;10;-19;-5;-1;24;11;8;1;6;8;3;8;-24;-39;-22;-70;-98;15;-52;-15;9;58;47;-32;-38;-14;-8;-1;14;-2;-22;-7;-5;85;-6;25.0;-46;-21;37;12;-18;11;37;23;13;10;8;5;5;5;5;6;20;17;21;38;28;56;39;29;41;30;1;26;11;8;9;6;4;13;9;46;33;45;20;16;15;11;9;9;8;28;16;8.0;29;4.0;145.0;1;16:30:00;-1;HSV;KOL
