game;away_score;data;form_minute_1;form_minute_10;form_minute_11;form_minute_12;form_minute_13;form_minute_14;form_minute_15;form_minute_16;form_minute_17;form_minute_18;form_minute_19;form_minute_2;form_minute_20;form_minute_21;form_minute_22;form_minute_23;form_minute_24;form_minute_25;form_minute_26;form_minute_27;form_minute_28;form_minute_29;form_minute_3;form_minute_30;form_minute_31;form_minute_32;form_minute_33;form_minute_34;form_minute_35;form_minute_36;form_minute_37;form_minute_38;form_minute_39;form_minute_4;form_minute_40;form_minute_41;form_minute_42;form_minute_43;form_minute_44;form_minute_45;form_minute_45.5;form_minute_46;form_minute_47;form_minute_48;form_minute_49;form_minute_5;form_minute_50;form_minute_51;form_minute_52;form_minute_53;form_minute_54;form_minute_55;form_minute_56;form_minute_57;form_minute_58;form_minute_59;form_minute_6;form_minute_60;form_minute_61;form_minute_62;form_minute_63;form_minute_64;form_minute_65;form_minute_66;form_minute_67;form_minute_68;form_minute_69;form_minute_7;form_minute_70;form_minute_71;form_minute_72;form_minute_73;form_minute_74;form_minute_75;form_minute_76;form_minute_77;form_minute_78;form_minute_79;form_minute_8;form_minute_80;form_minute_81;form_minute_82;form_minute_83;form_minute_84;form_minute_85;form_minute_86;form_minute_87;form_minute_88;form_minute_89;form_minute_9;form_minute_90;form_minute_90.5;home_score;hora;result;team_away;team_home
KAI X H96 05-08-2016;;;1;15;11;12;12;7;5;3;-75;-38;-27;1;-15;11;7;4;3;-5;-6;-8;-39;-27;-5.0;-5;-2;6;11;12;7;-5;6;3;2;6.0;-5;-5;-9;-6;-9;-6;;-4;-8;-25;-90;2;-54;-13;-8;-9;4;1;-26;-24;-23;-23;41;-17;-7;-7;-28;-95;-65;-42;-29;-14;-1;85;-1;-5;-13;-13;-8;50;26;15;14;7;56;-1;-6;-33;-20;-88;-52;40;6;3;57;33;33;5.0;;;;;
BOC X UNB 06-08-2016;;;1;9;-10;-1;-6;-10;6;5;8;5;-50;6;-27;31;7;-5;8;45;65;93;56;33;-4.0;47;25;11;5;6;-2;3;5;2;-2;6.0;4;30;26;34;14;6;;-2;4;-2;-32;-4;18;-37;-15;-6;33;54;42;100;33;-33;1;-9;13;8;7;34;27;18;12;9;6;-4;5;5;-73;-38;-20;-39;-21;78;42;25;6;13;48;18;6;-35;-16;-7;-3;-40;-20;31;31;70.0;;;;;
DRE X NUR 06-08-2016;;;1;-1;-2;-51;-27;-11;-1;6;16;15;4;1;2;1;1;-4;-22;-12;-7;6;1;32;1.0;24;10;6;4;5;33;15;-30;-11;-1;5.0;6;1;8;5;3;-75;5.0;-40;-22;-12;-6;3;-2;-4;22;-29;-9;7;1;22;15;5;27;3;2;6;3;27;21;8;5;-20;31;16;61;32;9;12;15;5;4;-30;-15;-4;-30;-2;-5;1;6;2;12;38;24;25;21;-11;13;135.0;;;;;
SAN X DUS 06-08-2016;;;-6;5;12;16;85;56;29;17;10;1;1;7;-5;41;28;12;3;2;1;-5;12;47;-4.0;24;-74;-22;-7;-10;-9;-3;12;36;-29;7.0;37;16;5;-4;2;2;;2;31;18;5;4;7;3;-1;-30;-13;-4;-7;5;1;4;78;22;-41;-37;-52;-7;10;9;6;-6;-7;37;-49;-39;-27;-50;-28;-8;-8;41;29;23;18;-15;-4;-10;-35;-41;-22;-7;-8;-2;-5;6;1;-45.0;;;;;
FUR X MUN 07-08-2016;;;1;9;2;-7;-3;-33;-21;-14;-4;29;16;1;3;-12;-1;-3;-17;-10;-6;5;4;8;6.0;9;9;4;6;-6;-42;50;13;47;37;2.0;79;53;31;19;30;43;75.0;-1;5;-4;-8;-2;27;9;-49;-28;27;35;13;13;24;9;-7;34;17;57;24;11;-34;-20;-13;-10;17;-10;-9;2;27;13;3;-9;-6;17;8;36;-7;5;11;13;35;47;27;13;10;2;-7;-5;-11;0.0;;;;;
HEI X AUE 07-08-2016;;;6;-43;-30;-15;-6;-6;48;66;32;11;5;-8;-2;-11;-7;4;4;1;-7;-9;-7;-100;3.0;-72;-54;-33;-20;-15;-10;24;14;7;14;-3.0;-42;-17;74;31;16;11;;5;-3;-2;-2;-23;-2;-6;-29;-13;-13;-14;-8;-4;-8;-5;-16;-3;20;9;10;-6;3;-2;-1;4;-2;-11;-1;4;-7;-4;-8;-11;-8;-6;4;-7;-4;-9;-6;4;-1;-7;4;-2;29;25;18;3;14;35.0;;;;;
ARM X KAR 07-08-2016;;;1;-5;1;1;25;30;14;48;29;11;11;1;17;8;5;-10;-40;-21;-9;-6;-9;-19;1.0;-18;-12;-8;-36;-21;29;8;-7;-2;-2;6.0;-9;-11;-2;-3;-3;-2;-20.0;-12;-7;-45;-28;4;-17;-10;19;39;17;9;54;30;9;5;8;32;14;7;-8;-3;-2;18;57;37;59;-5;32;10;-3;-2;-6;-31;-10;-8;-7;-6;1;-8;-7;-11;-8;-16;-11;-8;-1;-2;4;5;34;30.0;;;;;
EBR X WKI 07-08-2016;;;1;1;-5;-2;-6;-3;-1;1;31;18;16;1;9;5;1;31;18;11;-20;41;17;11;-20.0;12;9;-5;-5;6;1;-10;-33;-14;-8;-6.0;-54;-30;-20;76;38;47;-5.0;6;-9;-2;26;41;10;-29;-17;-14;76;40;32;20;18;6;16;4;-39;-55;-32;-8;6;4;1;21;53;10;31;19;12;31;16;10;-30;-8;-6;6;7;1;-20;-9;61;32;20;8;5;-5;-2;4;-6;110.0;;;;;
STU X STP 08-08-2016;;;1;-3;5;1;1;-21;-11;-12;-12;-17;-3;-15;-2;-36;41;12;7;4;-20;-6;-78;-86;-38.0;-45;-20;-12;-1;2;-5;-32;-43;-40;-18;-53.0;-5;1;6;30;53;31;0.0;1;3;-7;4;-31;-2;-2;4;-2;9;2;4;5;36;24;-13;100;67;42;41;25;4;-19;36;14;29;-12;19;13;11;7;-4;-4;-6;-8;-39;-16;-5;-8;-3;-1;2;22;19;17;11;87;51;-5;36;40.0;;;;;
NUR X HEI 12-08-2016;;;-41;19;77;41;25;9;9;-1;-6;-2;-1;-75;-31;-23;-8;30;9;7;5;37;15;4;-45.0;2;1;-31;30;7;4;-6;-6;5;-1;-38.0;-1;-1;-1;-1;-1;-51;-30.0;-26;20;21;16;-53;47;22;6;-21;-32;-27;-91;-50;-69;-40;-29;-29;-12;-8;5;-1;-11;-6;10;2;10;-34;6;8;8;-6;-6;40;20;46;27;16;-41;5;18;7;3;1;5;81;97;57;73;-24;47;-35.0;;;;;
