game;away_score;data;form_minute_1;form_minute_10;form_minute_11;form_minute_12;form_minute_13;form_minute_14;form_minute_15;form_minute_16;form_minute_17;form_minute_18;form_minute_19;form_minute_2;form_minute_20;form_minute_21;form_minute_22;form_minute_23;form_minute_24;form_minute_25;form_minute_26;form_minute_27;form_minute_28;form_minute_29;form_minute_3;form_minute_30;form_minute_31;form_minute_32;form_minute_33;form_minute_34;form_minute_35;form_minute_36;form_minute_37;form_minute_38;form_minute_39;form_minute_4;form_minute_40;form_minute_41;form_minute_42;form_minute_43;form_minute_44;form_minute_45;form_minute_45.5;form_minute_46;form_minute_47;form_minute_48;form_minute_49;form_minute_5;form_minute_50;form_minute_51;form_minute_52;form_minute_53;form_minute_54;form_minute_55;form_minute_56;form_minute_57;form_minute_58;form_minute_59;form_minute_6;form_minute_60;form_minute_61;form_minute_62;form_minute_63;form_minute_64;form_minute_65;form_minute_66;form_minute_67;form_minute_68;form_minute_69;form_minute_7;form_minute_70;form_minute_71;form_minute_72;form_minute_73;form_minute_74;form_minute_75;form_minute_76;form_minute_77;form_minute_78;form_minute_79;form_minute_8;form_minute_80;form_minute_81;form_minute_82;form_minute_83;form_minute_84;form_minute_85;form_minute_86;form_minute_87;form_minute_88;form_minute_89;form_minute_9;form_minute_90;form_minute_90.5;home_score;hora;result;team_away;team_home
CRU X GRE 2018-04-14;1;2018-04-14;-4.0;-13;-14;-14.0;-14;-12;20;2;-10;-3;-3;22;-5;-9;20;63;32;14;4;-1;-3;-2;5;-2;-26;24;8;9;32;42;18;5;-6;-7;20;7;-6;-6;-7;-6;0.0;-1.0;20;6;-6;4;-5;-8;-11;20;28;-103;-47;42.0;2;-4;4;6;4;-59;-29;-21;-42;-54;-2;-5;-7;4;-6;5;5;-5;-4;21.0;5;-5.0;-9;-10.0;6;-12.0;-12;-12;-17;-15;-7.0;7.0;9.0;8.0;8.0;-27;7;25.0;0;17:00:00;-1;GRE;CRU
VIT X FLA 2018-04-14;2;2018-04-14;-85.0;45;63;-43.0;-25;73;72;37;22;22;9;-50;4;55;36;17;-19;-4;-1;-21;-12;-52;-29;-50;-64;-30;-14;-1;3;7;-43;51;-15;-22;35;50;42;26;20;5;-30.0;56.0;38;47;62;-16;37;23;18;44;28;-21;25;17.0;12;11;-6;12;2;-9;35;22;17;40;34;22;22;-4;38;16;7;-77;-44;-25.0;-10;84.0;55;6.0;-2;-17.0;-4;-5;9;8;15.0;11.0;9.0;3.0;-2.0;-1;28;5.0;2;20:00:00;0;FLA;VIT
SAN X CEA 2018-04-14;0;2018-04-14;3.0;1;1;6.0;14;13;5;-4;-3;6;6;3;7;37;25;28;48;56;33;24;17;-11;9;6;21;18;66;40;54;31;19;9;6;14;3;-4;2;1;42;2;35.0;28.0;22;44;30;12;52;67;8;-4;-4;5;-3;-1.0;19;51;7;30;47;27;13;4;1;-2;24;26;23;5;10;38;27;-62;-25;-21.0;-17;-12.0;-7;-8.0;3;-14.0;-10;-7;-6;-5;-4.0;-4.0;6.0;6.0;39.0;2;-35;-15.0;2;22:00:00;1;CEA;SAN
AME X SPT 2018-04-15;0;2018-04-15;8.0;14;64;16.0;33;16;2;-9;-1;-6;-7;100;22;9;-7;-31;-46;-34;-20;-12;-2;8;64;2;24;12;4;-23;-16;-16;-3;67;77;32;54;100;59;27;10;23;45.0;20.0;8;1;-24;21;-100;-74;-42;-17;-1;9;8;-32.0;-63;-47;20;-33;-24;-36;-21;-10;-4;2;7;31;25;-4;21;9;7;4;33;7.0;-12;-10.0;-13;-22.0;-4;-19.0;-17;-60;-41;-50;-34.0;-25.0;-16.0;-44.0;-29.0;22;-42;-75.0;3;12:00:00;1;SPT;AME
COR X FLU 2018-04-15;1;2018-04-15;10.0;7;10;11.0;12;37;22;43;35;40;36;12;26;12;20;15;12;16;12;8;6;10;33;2;3;4;4;4;4;4;4;4;-3;26;-4;-27;-10;-6;-3;0;45.0;-7.0;8;9;-87;15;-47;-52;-61;-41;-12;-1;6;26.0;61;35;8;-41;60;28;15;-19;2;-3;2;-43;-22;4;-12;-5;-46;-22;-17;-4.0;-1;8.0;10;17.0;-1;6.0;5;4;3;22;15.0;10.0;87.0;53.0;31.0;5;20;-20.0;2;17:00:00;1;FLU;COR
INT X BAH 2018-04-15;0;2018-04-15;10.0;8;2;-1.0;-3;4;6;15;9;5;3;11;-3;8;10;38;26;19;19;78;51;-34;12;5;-21;-16;-9;56;40;30;22;97;51;9;28;9;4;-3;-2;-1;40.0;-2.0;-22;-15;-15;-7;-11;-8;-5;-10;-72;-19;34;10.0;-27;-5;3;7;69;34;-45;-17;-15;-42;-27;-16;22;28;9;3;-5;-10;-12;-11.0;-10;-10.0;-14;-14.0;34;-14.0;-14;-3;5;46;32.0;18.0;-31.0;-58.0;-44.0;24;-27;5.0;2;17:00:00;1;BAH;INT
VAS X CAM 2018-04-15;1;2018-04-15;-6.0;14;44;70.0;44;-72;-20;-14;21;10;13;-8;10;8;6;44;27;19;14;12;7;7;-3;27;49;33;33;100;63;34;24;8;-2;3;-33;-44;-21;-12;-40;28;-40.0;1.0;1;51;31;2;16;28;17;6;4;8;9;10.0;-40;-9;3;-4;-6;4;-32;29;15;13;11;13;14;-3;36;30;-27;6;6;-5.0;21;23.0;13;12.0;8;27.0;29;21;22;-36;-70.0;-43.0;80.0;60.0;37.0;11;25;115.0;2;17:00:00;1;CAM;VAS
CAP X CHA 2018-04-15;1;2018-04-15;10.0;17;14;13.0;3;4;6;10;12;14;-13;13;8;5;35;23;20;32;30;22;19;-19;16;-31;-20;-8;35;27;82;53;35;29;23;17;40;35;27;16;35;2;-15.0;63.0;39;21;-73;18;-33;-21;83;43;33;52;37;17.0;-29;78;17;18;12;-13;-25;-19;-24;-16;-5;7;79;17;49;-29;-3;-9;-29;-14.0;-4;-5.0;-5;-14.0;17;-6.0;-31;-16;-2;8;10.0;15.0;56.0;31.0;100.0;22;-2;40.0;5;20:00:00;1;CHA;CAP
BOT X PAL 2018-04-16;1;2018-04-16;-4.0;-2;6;2.0;-4;-4;-6;-7;-32;-23;-17;-5;-14;-17;-13;-32;-19;20;-6;-6;-6;-9;5;-7;26;21;74;80;57;67;36;13;2;6;-4;-7;-7;-7;27;10;;-19.0;-5;-2;-2;59;-1;-21;-11;-7;-79;-46;-25;-14.0;-7;-20;23;-20;-17;-14;-47;-20;-9;47;31;28;23;-42;40;31;23;19;42;25.0;16;11.0;8;49.0;-17;33.0;24;83;91;53;34.0;22.0;70.0;44.0;36.0;-5;26;0.0;1;21:00:00;0;PAL;BOT
SPO X PAR 2018-04-16;0;2018-04-16;-10.0;12;54;30.0;20;14;10;10;10;10;25;-4;23;18;15;13;41;23;12;11;6;-1;2;-1;-1;-1;5;6;32;64;43;100;62;25;36;15;-20;-12;26;-15;0.0;-8.0;-24;-14;-8;9;-48;-33;-73;-78;-46;-1;33;6.0;6;-5;9;-2;-8;30;10;13;-13;3;3;-3;3;58;3;-23;-14;-11;-6;-8.0;-2;-3.0;-3;-8.0;33;-6.0;4;-12;-8;36;58.0;14.0;4.0;3.0;6.0;21;-25;0.0;1;21:00:00;1;PAR;SPO
